Date,Hour,City,City_Code,Grid_ID,Consumer_Type,Energy_Consumption_kWh,Renewable_Energy_kWh,Grid_Load_Percentage,Voltage_Level,Power_Outage,Temperature_C,Tariff_Rate,Energy_Cost,Peak_Hour,Smart_Meter_ID
16-03-2025,1,Kolkata,PUN,G352,Commercial,21.58,8.54,64.13,230.43,0,22.3,6.24,134.6,No,SM46059
23-04-2025,7,Mumbai,MUM,G504,Residential,3.03,0.52,50.3,233.64,0,28.07,8.71,26.4,No,SM34796
04-11-2025,9,Delhi,DEL,G491,Commercial,55.28,25.28,41.53,222.79,0,31.09,7.89,435.93,No,SM59414
06-08-2025,1,Mumbai,MUM,G479,Commercial,33.92,7.97,37.39,221.4,0,32.55,9.27,314.48,No,SM30530
21-06-2025,7,Kolkata,PUN,G233,Residential,6.94,2.17,55.69,225.5,0,27.24,6.45,44.73,No,SM24730
02-01-2025,9,Mumbai,MUM,G731,Industrial,266.54,60.32,80.65,225.05,0,30.29,9.18,2445.64,No,SM80356
20-04-2025,9,Chandigarh,CHD,G495,Industrial,98.53,40.06,52.85,233.73,0,29.03,5.62,553.57,No,SM45408
03-04-2025,13,Mumbai,MUM,G880,Commercial,55.64,15.19,54.56,224.92,0,25.61,8.67,482.6,No,SM42379
31-05-2025,8,Ahmedabad,AMD,G474,Industrial,136.91,71.69,52.69,228.79,0,30.66,6.22,851.47,No,SM90314
27-10-2025,15,Kolkata,PUN,G384,Commercial,36.96,12.66,40.68,220.95,0,31.98,6.45,238.37,No,SM70210
17-07-2025,9,Hyderabad,HYD,G746,Industrial,252.38,118.37,68.24,224.2,0,30,6.7,1691.21,No,SM33065
08-06-2025,3,Bangalore,BLR,G281,Commercial,22.57,15,45.26,232.34,0,24.48,6.74,152,No,SM47984
07-11-2025,5,Mumbai,MUM,G504,Industrial,140.67,40.57,58.07,234.44,0,29.42,9.29,1307.35,No,SM18842
18-06-2025,18,Mumbai,MUM,G916,Residential,9.98,3.24,59,226.75,0,34.79,8.54,85.23,Yes,SM67667
22-02-2025,4,Mumbai,MUM,G258,Industrial,108.09,31.85,44.81,221.74,0,33.45,9.1,983.95,No,SM83183
18-01-2025,5,Delhi,DEL,G650,Residential,3.44,1.47,54.34,222.63,0,31.99,8.43,29.02,No,SM46693
01-05-2025,4,Hyderabad,HYD,G887,Industrial,168.6,50.73,72.86,227.3,0,31.66,7.06,1189.8,No,SM85725
12-12-2025,6,Bangalore,BLR,G370,Commercial,47.83,20.91,52.78,223.4,0,22.95,6.73,322.01,No,SM36157
07-06-2025,9,Mumbai,MUM,G319,Commercial,64.9,23.96,38.49,225.53,0,32.53,9.04,586.85,No,SM65797
07-10-2025,19,Chennai,CHE,G178,Residential,18.69,7.71,31.87,223.22,0,28.8,7.36,137.64,Yes,SM87071
10-11-2025,0,Chandigarh,CHD,G382,Commercial,22.22,10.66,40.22,231.64,0,24.15,5.74,127.68,No,SM54522
31-07-2025,3,Kolkata,PUN,G952,Commercial,25.62,7.03,57.68,220.12,0,22.6,6.49,166.28,No,SM72275
04-12-2025,5,Ahmedabad,AMD,G241,Industrial,125.71,82.14,54.57,233.76,0,30.26,5.93,745.68,No,SM73705
17-03-2025,5,Kolkata,PUN,G283,Commercial,16.9,6.74,40,225.63,0,27.41,6.28,106.22,No,SM69245
19-04-2025,9,Kolkata,PUN,G110,Residential,4.47,1.69,43.44,223.66,0,25.14,6.63,29.62,No,SM37970
26-06-2025,1,Kolkata,PUN,G875,Industrial,116.56,30.89,63.03,233.34,0,24.44,6.26,729.72,No,SM14663
13-04-2025,15,Chandigarh,CHD,G429,Residential,6.02,2.69,36.6,230.28,0,20.01,6.09,36.67,No,SM46380
15-05-2025,21,Delhi,DEL,G944,Industrial,491.84,237.4,79.18,233.84,0,32.07,8.06,3965.7,Yes,SM62426
11-02-2025,9,Ahmedabad,AMD,G199,Residential,6.9,3.44,41.69,222.03,0,30.21,5.95,41.08,No,SM89839
16-12-2025,17,Delhi,DEL,G814,Industrial,212.7,66.08,65.27,227.88,0,27.7,8.18,1739.26,No,SM35371
04-10-2025,0,Bangalore,BLR,G160,Commercial,26.9,16.47,34.69,224.26,0,27.68,6.9,185.53,No,SM61919
12-08-2025,0,Bangalore,BLR,G851,Residential,5.81,2.41,44.58,229.87,0,27.66,7.13,41.42,No,SM72155
25-01-2025,1,Bangalore,BLR,G913,Commercial,28.52,15.98,60.85,231.91,0,21.35,7.07,201.71,No,SM40629
20-11-2025,4,Bangalore,BLR,G410,Commercial,20.71,9.91,40.07,220.79,0,24.08,6.83,141.56,No,SM50608
15-01-2025,16,Chennai,CHE,G871,Commercial,17.6,7.39,56.76,227.97,0,35.46,7.67,135.1,No,SM44011
24-01-2025,18,Chandigarh,CHD,G390,Commercial,39.21,17.01,44.92,231.58,0,20.51,5.6,219.55,Yes,SM79512
13-12-2025,6,Bangalore,BLR,G535,Commercial,25.66,9.22,41.57,225.9,0,22.62,6.92,177.45,No,SM42851
25-12-2025,16,Chennai,CHE,G308,Commercial,25.01,11.17,39.5,224.71,0,30.3,7.58,189.56,No,SM33594
13-02-2025,8,Kolkata,PUN,G391,Commercial,32.88,12.79,45.23,232.16,0,24.72,6.69,219.98,No,SM99139
14-02-2025,15,Kolkata,PUN,G275,Residential,5.42,2.05,40,227.08,0,27.57,6.29,34.06,No,SM35840
15-01-2025,5,Delhi,DEL,G795,Industrial,167.76,46.42,54.78,229.49,0,30.07,8.24,1381.85,No,SM72283
11-08-2025,11,Chandigarh,CHD,G914,Commercial,16.12,9,45.61,224.78,0,21.6,5.96,96.08,No,SM16720
04-07-2025,2,Ahmedabad,AMD,G363,Residential,6.82,4.74,55.68,229,0,34.98,6.21,42.35,No,SM67806
03-09-2025,14,Ahmedabad,AMD,G965,Commercial,39.91,22.59,35.99,222.44,0,28.45,5.71,227.66,No,SM61510
27-03-2025,10,Delhi,DEL,G561,Commercial,66.42,9.96,38.64,228.87,0,27.02,7.98,530.14,No,SM21663
12-01-2025,12,Delhi,DEL,G464,Industrial,205.88,45.83,71.59,229.59,0,32,8.32,1713.32,No,SM10964
12-02-2025,11,Chennai,CHE,G402,Residential,11.04,6.49,46.1,228.59,0,26.79,7.17,79.22,No,SM84232
18-02-2025,12,Chennai,CHE,G607,Commercial,33.29,12.69,53.33,231.34,0,28.65,7.43,247.38,No,SM59329
02-09-2025,12,Bangalore,BLR,G436,Industrial,191.06,105.36,72.11,227.45,0,25.75,7.14,1364.92,No,SM59477
11-01-2025,2,Chennai,CHE,G142,Industrial,87.72,45.9,58.77,228.82,0,32.77,7.15,627.31,No,SM93831
02-02-2025,7,Ahmedabad,AMD,G330,Commercial,15.71,8.05,43.57,222.86,0,28.72,6.33,99.36,No,SM93284
01-01-2025,15,Bangalore,BLR,G307,Commercial,35.94,15.53,44.59,231.56,0,22.99,7.35,263.98,No,SM34302
12-11-2025,1,Bangalore,BLR,G764,Residential,5.15,3.11,37.52,229.25,0,27.03,7.47,38.47,No,SM42387
28-11-2025,22,Chennai,CHE,G222,Commercial,48.63,23.18,61.86,221.12,0,27.78,7.79,378.65,Yes,SM66364
08-03-2025,2,Bangalore,BLR,G799,Residential,6.34,3.76,41.63,229.83,0,25.25,7.43,47.14,No,SM51599
13-09-2025,6,Mumbai,MUM,G296,Industrial,105.88,18.74,40.59,225.4,0,25.95,8.54,904.46,No,SM40158
02-12-2025,1,Kolkata,PUN,G761,Industrial,57.53,18.41,65.91,226.92,0,29.05,6.64,381.8,No,SM52382
17-12-2025,10,Bangalore,BLR,G638,Commercial,21.58,12.01,60.16,224.68,0,29.73,6.5,140.35,No,SM61896
08-03-2025,13,Ahmedabad,AMD,G426,Industrial,108.11,61.97,52.81,223.06,0,27.35,6.04,653.19,No,SM10864
